id,level_of_flood
0001D126-7C4D-4DAE-970D-FC57244E7932,3
0005FCB0-7083-4384-B292-AB053F1AA310,0
000CF048-F8DF-4D7F-BC77-21CD06044DB1,0
000D2176-217A-4E80-A48C-08A9F5A82FDF,0
0013153C-BB27-4343-931A-1912B747D10C,3
00164C98-3D16-4483-8F90-51626F5CE1D9,0
001DC83D-B8C7-4F22-AF76-9864D582F5F6,0
001F1A31-544A-4910-AC69-913303F2677F,0
0020E7A5-101F-4621-9B47-F1B83A1D357F,0
00216E9E-C41C-4610-955E-8824327C7E15,0
0022C7A6-DD30-48FE-B9C0-B2E606A04418,0
00242C5C-80A5-4680-995E-5EB6B008370B,0
00268B71-2B73-4FCB-9998-AD86BA975735,0
00284FBD-6649-4FC4-AAF5-0AEFAC7D431D,2
0028E891-46F6-400C-9D95-2B75C069CBA0,0
0029900D-60AC-4F71-B3E5-0D3F3D1FC349,0
002C7302-A325-4A13-BDAC-0C388D1EAC8A,2
002D35A9-B0B3-49D5-BF93-245DE23CEAD5,0
002DA3B8-C0DA-464A-8A9A-56B364EC7B5E,4
002E3DF8-275F-40B9-A925-596FB199D0E5,2
002FF192-FF9F-472F-A356-777DAF23D686,0
003239D2-A9DB-4413-8B82-55EB68E17E4E,2
00324107-FC29-4045-87DC-9A1FFFFB326F,2
003293DF-8A65-474D-BEE6-A5E50C40CC66,0
0033F704-B566-4084-AF9F-5DEE4AE5B42F,2
00374C56-7408-4D2B-825D-7856A40B9260,0
003B6A50-F41C-4B63-BBDF-08704765AE39,0
003E86A7-E8F5-4AC7-A8F1-86B3CA790922,0
003FF976-1C84-4FA7-B2FB-538B07F1EDAC,0
0043522F-454A-41AB-9E0E-98A8B442FC4A,0
0043C8E9-E0DA-4DCE-A86F-DB1565250003,0
0045D0CC-07A8-49CE-8F02-23D3D65615C4,0
0051B870-9362-4B2B-B23D-1C7B00476EF8,0
00542459-EF8E-4782-80E9-FEE528322E48,0
0057CA54-DC7A-4572-829E-C97D64444F35,0
00591B7E-B68E-4283-97E6-B059625A5CD7,0
005A6128-2E0C-4A53-A535-CCFE2A8B4D16,0
005BF72D-30C7-4CBF-A45D-AB61E1760EAA,2
005D0315-A301-4336-B559-61C9230F1E33,0
005F39C3-7FB1-4C59-B4A0-B5DDCE38BB26,0
0061A246-95AA-4D73-8E24-8964855FEA45,0
0063A0DC-1CEC-4A20-AE4C-D1F693080F0A,0
00660906-CBAC-481A-8AAA-93467403299F,0
0068E970-3137-4ACE-8228-FDD0714928A8,0
006989B7-A0D6-4121-8699-CD3BA081B8F1,0
006B0C75-495A-4BC7-BA20-D061145F403E,2
006DF4A6-C2CF-497D-8544-7D2F72CC1201,0
00724246-17C6-44B5-BF68-E5AEFD6EF39D,0
0073D70F-E04F-4DF7-ABF7-1EB25F246199,0
00762074-A251-47E8-8C7A-CDDE793154E0,0
0077D877-FDC4-432F-9CA8-58DBEA4C72F2,0
0078E132-82AC-49A2-B019-7E69B65D1F5E,2
007A4A12-D8E2-4765-A722-6AC427308509,0
007DDDB2-F8C1-4D5B-B2FD-43F5C241223B,0
007EDEAE-6247-4BA1-8C9C-0D1925676EA3,2
007F3E45-E251-4C71-A051-1ECBA46EC040,0
00823D13-21CB-4125-AF30-99497F63DE69,0
0086507D-3811-478C-AF70-44B894A05EFA,0
008B8A74-95A7-44D0-8E9D-649D422E3B75,0
00907F02-C01E-4C9A-A6DE-04E00EA882B0,0
0090D0AE-02DF-422E-B8CC-24EF406C1AFE,0
0092742A-B7BA-4F85-8F10-8E5AAFD54E2C,0
00940199-43BB-4C5C-BDFA-18452DE3F9C3,0
009424CB-C5C0-4391-A5A1-E5A4BF7670B4,0
009846DF-FBCD-4CD0-8DFE-C5978CC4A64B,2
00997524-5D8C-4E96-850A-584F65E3D49A,2
00998416-9AFB-455B-81ED-B97081E5AC11,2
009CD745-F439-4E55-A1F7-C34D6E4406D9,0
009F81D6-09D4-43F3-9EBF-924B62756C90,0
00A06B46-3CAA-46D4-8BBC-38D063A7BA9E,0
00A0D906-581B-4923-85FC-53A0AAE001FC,0
00A1DE84-7725-440A-819D-05640D7DBBF0,0
00A69A0E-26EB-4ED7-8752-C5EEE513F195,0
00ABA6A3-4D0D-4601-AAD7-06DC8C90E1C3,0
00AC241A-516D-49B0-91F6-70BD08209603,2
00AD5989-8737-4C5F-83EB-2DBE3516C7A5,0
00AD68AD-11FE-428A-B88D-C01C3F11BC99,0
00AE1C54-1396-4099-B4FF-7E19F80621DC,0
00B50B92-289F-4BFD-A7C2-B55F8199966C,3
00B63E27-9C66-43BD-B7EB-8DE925306E5F,0
00BA0E95-A9A7-42F0-ABFF-64C3D212E45A,2
00BD5413-F914-4366-B46F-A7CDAF936D1C,0
00BFBE94-6D3F-46A4-90ED-DB2C95FE3E94,0
00BFC83D-E6A3-4698-97DA-3719A76367EA,4
00C2BF1D-3888-4B5A-AD48-6AFAF86C15E1,0
00C3BE55-6C29-4167-937A-EEC85D8F388D,0
00C3C607-E1F7-47CF-8E57-14FA51645CF3,0
00C81D12-753F-4507-AEFF-62CCF6B9B612,0
00CA4CF1-A84D-49EC-9A7C-D4A059C9C565,0
00CB4578-5BAE-44B3-8C9A-3B29F221E9BF,0
00CC8741-9CCB-4EAE-A339-D1D803DA53EA,2
00CE4395-DC98-43DE-ACE6-E92F27A818AB,0
00CFB941-B626-4AF1-9EE4-3DFC1A175F2C,3
00D29ABD-2FC9-4988-9543-06F2E665A987,0
00D4535F-5AF8-42A8-B082-05BF3B57AD7F,0
00D489B7-CD1C-44AD-B682-84DB4FCA633C,0
00D735CA-62E3-48D6-BC68-916F8685BF8A,2
00DA87C7-57BE-408F-9A02-6AD658DAB658,0
00DBCAD5-48BA-4C8B-BD41-3BB399197161,2
00DF5DA0-72D1-421D-B1A3-26FB32DFD147,2
00DF68F7-F1F2-4CBA-ADA9-96F1A9B75DEB,0
00E4B24E-BAD4-4ACF-A57A-1721EEFF8AA2,0
00E5EA4A-F37E-473C-8673-7D7661A6B6ED,3
00E79FBC-0652-4ACF-91FE-80B00709BF36,0
00E7A719-2876-4E5B-A564-C9CDD32E653C,2
00E8560C-F35A-4AC9-924E-B200CC4679C6,0
00E8ABB0-2577-4623-99D8-260CF3BE81F5,0
00E99CD3-8244-4D80-8316-8BBB9BEBE53F,0
00EB52C9-3511-4A48-B174-03AFF6099CE5,0
00EC89EA-4125-4BF8-AC1F-7A5B21A052A6,0
00EE18E8-556B-4393-BD38-68F0BC9D944D,3
00F36732-37CB-4CF6-9EE7-560BD052CE8C,0
00F8539B-D3CA-41C8-B885-01D4E821A87C,0
00F953E4-DBA6-4E74-8A19-04A1A55A4482,0
00FDA788-1CF5-4D5E-A879-FC7293A60308,2
00FFBA01-BA97-4EC9-97D4-32619FFA91CD,0
010017D1-87DB-4BC6-8930-C2E91CC9A097,0
0102FF73-192F-401F-A95C-4551AB80B00E,0
01039485-503F-43FD-912F-8373EBDE3977,0
010792E5-FB5C-42AB-BBA6-31FC5BAFAB1A,2
010BC201-0418-4595-B75A-FDD18123C0F3,0
010DAEA9-FEE1-4016-B8EE-E88E6C2E8F6B,0
